entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-03 00:00:00+00:00,2023-04-04 00:00:00+00:00,jet,LONG,123,203.0,200.0,-369.0,0.8239770000000002,0.8118000000000001,-370.635777,-0.014843837438423647,91
2023-01-03 00:00:00+00:00,2023-09-05 00:00:00+00:00,jet,LONG,115,203.0,232.0,3335.0,0.7703850000000001,0.8804400000000001,3333.3491750000003,0.1427864285714286,245
2023-01-03 00:00:00+00:00,2023-12-14 00:00:00+00:00,jet,LONG,3,203.0,256.45,160.34999999999997,0.020097000000000004,0.02538855,160.30451444999997,0.2632258036945812,345
2023-01-03 00:00:00+00:00,2024-06-25 00:00:00+00:00,jet,LONG,116,203.0,562.0,41644.0,0.7770840000000001,2.151336,41641.071579999996,1.7683485467980293,539
2023-01-03 00:00:00+00:00,2025-03-28 00:00:00+00:00,jet,LONG,87,203.0,2340.0,185919.0,0.5828130000000002,6.718140000000001,185911.699047,10.526680201970443,815
2023-01-03 00:00:00+00:00,2025-07-31 00:00:00+00:00,jet,LONG,48,203.0,2099.0,91008.0,0.32155200000000006,3.3248159999999998,91004.35363200001,9.339527261083745,940
2023-05-31 00:00:00+00:00,2025-07-31 00:00:00+00:00,jet,LONG,46,223.5,2099.0,86273.0,0.33927300000000005,3.1862820000000003,86269.474445,8.39115596196868,792
2023-05-31 00:00:00+00:00,2025-10-02 00:00:00+00:00,jet,LONG,43,223.5,2350.0,91439.5,0.3171465,3.33465,91435.84820349999,9.514161407158836,855
2023-10-06 00:00:00+00:00,2025-10-02 00:00:00+00:00,jet,LONG,28,250.0,2350.0,58800.0,0.23100000000000004,2.1713999999999998,58797.5976,8.3996568,727
2023-10-06 00:00:00+00:00,2025-11-12 00:00:00+00:00,jet,LONG,53,250.0,2500.0,119250.0,0.43725,4.3725000000000005,119245.19025,8.999637,768
2023-10-06 00:00:00+00:00,2026-01-27 00:00:00+00:00,jet,LONG,36,250.0,2516.0,81576.0,0.29700000000000004,2.9890080000000006,81572.71399199999,9.063634888,844
2023-11-07 00:00:00+00:00,2026-01-27 00:00:00+00:00,jet,LONG,5,251.9,2516.0,11320.5,0.0415635,0.41514000000000006,11320.0432965,8.98772790512108,812
2025-05-15 00:00:00+00:00,2026-01-27 00:00:00+00:00,jet,LONG,47,2308.0,2516.0,9776.0,3.5797080000000006,3.9023160000000003,9768.517976000001,0.09005234315424611,257
