Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
macd (best),0.4324815491599501,199019.78282679996,1.990197828268001,53,83.01886792452831,-0.1660756140679578,2.488098519658426,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 9, ""macd_slow_window"": 30}}"
sma_price (best),0.38561423210224754,170191.62268335,1.7019162268334882,84,72.61904761904762,-0.15984377577811548,2.1913825137520377,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
rsi (best),0.34993457253047544,149536.9940742,1.4954192880980397,5,100.0,-0.31790212023260667,1.5507634094982614,2026-02-10,BUY,1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
buy_hold,0.1984479192142503,73620.0,0.7362060566936133,0,,-0.20952285740794985,1.5023009226282293,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.1679674419005439,60510.40748950001,0.6051040748949961,22,100.0,-0.3009135943086697,0.9208990191428806,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
