Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
bollinger (best),0.2687038177698293,104208.327653,1.0421175620018772,25,96.0,-0.17008710606510236,1.090139776087817,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
rsi (best),0.2510961109402816,95823.59999999999,0.9582675268214784,0,,-0.20311486913915555,0.7998695352836095,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 14}}"
macd (best),0.22287108710596182,82869.8171709,0.8286981717089994,8,100.0,-0.12053890169656833,0.8514596190196784,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 50}}"
sma_price (best),0.1580903293403222,55319.97255270003,0.5531997255270047,109,56.88073394495413,-0.18308059079196648,0.5738581283859896,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 10}}"
buy_hold,0.07421026414089704,23955.899999999994,0.23956097037772284,0,,-0.08641355423865937,0.6559427781961173,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
