Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
stoch_vwap (best),0.03351597364771286,10568.99217199994,0.10568992172000002,58,62.06896551724138,-0.06358750421235526,0.48942925436858464,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""d_window"": 2, ""k_window"": 7, ""smooth_k"": 1, ""vwap_window"": 10}}"
bollinger (best),0.0332380357479829,10478.397005000006,0.1047839700499984,27,85.18518518518519,-0.09322575204924044,0.35235984814304655,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
obv (best),0.0294127615576123,9236.592871000044,0.09236592870999871,112,51.78571428571429,-0.06920673629212493,0.3947419475497233,,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""obv_span"": 5}}"
ichimoku (best),0.015979865925487502,4950.174813999998,0.04950174813999908,23,30.434782608695656,-0.10368840815135438,0.17124325724433662,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {}}"
sma_price (best),0.012272679561463828,3787.442393999954,0.037874423939997515,150,51.33333333333333,-0.05776300383536059,0.21536096954463022,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.009939423429286887,3060.089559,0.03060089559000123,67,58.2089552238806,-0.07515329483098654,0.14647960184116454,2026-02-10,BUY,1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 20}}"
rsi (best),0.0,0.0,0.0,0,,0.0,,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 10.0, ""rsi_window"": 7}}"
