entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-03 00:00:00+00:00,2023-06-23 00:00:00+00:00,SNA,LONG,5033,14.9,11.53,-16961.210000000006,2.4747261000000003,1.91500617,-16965.599732270006,-0.22623303288590613,171
2024-01-04 00:00:00+00:00,2025-06-16 00:00:00+00:00,SNA,LONG,5831,10.68,57.0,270091.92,2.0550776400000004,10.968111,270078.89681135997,4.3368695280898875,529
2024-07-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,SNA,LONG,1454,10.7,57.0,67320.2,0.5134074000000001,2.7349740000000002,67316.9516186,4.326894009345795,333
