timestamp,symbol,side,prix d'éxécution (open du jour),quantité,cmp,pnl realisé,pnl latent,close du jour,available_quantity,position_value_cost,cost
2024-05-16 00:00:00+00:00,cfg,BUY,164.0,152.0,164.005412,0.0,303.17737599999896,166.0,152.0,24928.822624,0.8226240000000002
2024-06-25 00:00:00+00:00,cfg,SELL,156.0,-38.0,164.005412,-304.40128000000027,-171.61696800000078,162.5,114.0,18696.616968000002,0.19562400000000002
2024-06-27 00:00:00+00:00,cfg,SELL,158.0,-29.0,164.005412,-174.3081540000002,-501.96002000000107,158.1,85.0,13940.46002,0.15120600000000003
2024-07-09 00:00:00+00:00,cfg,SELL,156.15,-22.0,164.005412,-172.93242890000002,-482.2909560000008,156.35,63.0,10332.340956,0.11336490000000002
2024-09-19 00:00:00+00:00,cfg,BUY,191.0,116.0,181.50319611173182,0.0,1699.9278960000033,191.0,179.0,32489.072103999995,0.7311480000000001
2024-11-08 00:00:00+00:00,cfg,BUY,190.0,87.0,184.28427666917293,0.0,2052.382406000002,192.0,266.0,49019.617593999996,0.5454900000000001
2025-03-27 00:00:00+00:00,cfg,SELL,224.0,-67.0,184.28427666917293,2660.458199165414,7734.278942834589,223.15,199.0,36672.57105716541,0.49526400000000004
2025-05-15 00:00:00+00:00,cfg,BUY,233.5,69.0,196.95747289800528,0.0,9793.397263334586,233.5,268.0,52784.602736665416,0.5316795000000001
2025-07-18 00:00:00+00:00,cfg,BUY,235.0,52.0,203.14064373957942,0.0,14978.994003334583,249.95,320.0,65005.005996665415,0.40326000000000006
2025-09-15 00:00:00+00:00,cfg,BUY,264.0,35.0,209.14172089201526,0.0,18072.439083334586,260.05,355.0,74245.31091666542,0.3049200000000001
2025-10-15 00:00:00+00:00,cfg,SELL,235.5,-89.0,209.14172089201526,2345.1951771106424,7649.702242723943,237.9,266.0,55631.69775727606,0.6916635000000002
2025-11-25 00:00:00+00:00,cfg,SELL,239.0,-67.0,209.14172089201526,1999.9762712349777,6558.697542488962,242.1,199.0,41619.20245751103,0.528429
2025-12-02 00:00:00+00:00,cfg,SELL,238.2,-50.0,209.14172089201526,1452.5209253992366,5044.8835870897265,243.0,149.0,31162.116412910273,0.39303000000000005
2025-12-23 00:00:00+00:00,cfg,BUY,245.0,78.0,221.46584600401,0.0,6250.252957089732,249.0,227.0,50272.74704291027,0.6306300000000001
2025-12-26 00:00:00+00:00,cfg,BUY,245.7,58.0,226.39935899196584,0.0,3876.1826872897354,240.0,285.0,64523.817312710264,0.4702698
2026-01-13 00:00:00+00:00,cfg,BUY,245.15,44.0,228.90812544228044,0.0,4965.2267294897365,244.0,329.0,75310.77327051027,0.35595780000000005
2026-01-22 00:00:00+00:00,cfg,SELL,234.6,-83.0,228.90812544228044,471.7830188907233,2728.6011411990125,240.0,246.0,56311.39885880099,0.6425694000000001
