entry_time,exit_time,symbol,side,qty,entry_price,exit_price,gross_pnl,entry_cost,exit_cost,net_pnl,return_pct,hold_days
2023-01-04 00:00:00+00:00,2023-07-06 00:00:00+00:00,adh,LONG,8264,6.05,10.95,40493.6,1.6499076000000004,2.9861964000000003,40488.963896,0.8098246280991737,183
2023-01-04 00:00:00+00:00,2024-01-08 00:00:00+00:00,adh,LONG,4132,6.05,16.19,41898.48,0.8249538000000002,2.2076036400000003,41895.44744256,1.6759117487603306,369
2023-01-04 00:00:00+00:00,2024-07-24 00:00:00+00:00,adh,LONG,2066,6.05,30.3,50100.5,0.4124769000000001,2.0657934,50098.021729700005,4.008066190082645,567
2023-01-04 00:00:00+00:00,2025-03-21 00:00:00+00:00,adh,LONG,1033,6.05,46.15,41423.3,0.20623845000000005,1.5732073500000003,41421.520554200004,6.6278144462809925,807
2023-01-04 00:00:00+00:00,2025-10-22 00:00:00+00:00,adh,LONG,517,6.05,39.52,17303.99,0.10321905000000002,0.6742507200000001,17303.21253023,5.531982841322314,1022
