Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
macd (best),0.03930376071796382,12466.908710550008,0.12466908710550095,3,66.66666666666666,-0.2850843666375653,0.1828195684236368,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 10, ""macd_signal_window"": 12, ""macd_slow_window"": 30}}"
bollinger (best),0.03248573794097176,9969.338491849994,0.10233432207765847,25,52.0,-0.22386141699791962,0.1683084560018898,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 20}}"
rsi (best),0.027645115706357082,8442.300000000003,0.08665941556528534,0,,-0.28543764363734125,0.10748644165756936,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 14}}"
buy_hold,0.00689483248987055,2102.550000000003,0.021161509405941192,0,,-0.09052980636861896,0.10281894301580075,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
sma_price (best),-0.012841493824368277,-3862.3757868500397,-0.03862375786849748,100,55.00000000000001,-0.19839846673313155,-0.07325930447564019,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
