Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
rsi (best),0.08288845863454819,27411.4142439,0.2746707473039187,2,100.0,-0.19380096151985726,0.41585325227909165,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
sma_price (best),0.07154534736964258,23441.371648649932,0.23441371648649856,87,56.32183908045977,-0.15071756621149113,0.5620735021650609,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.019965332215637677,6209.914977449982,0.06209914977450248,39,61.53846153846154,-0.16672153295706482,0.15144443732310262,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 26}}"
buy_hold,0.016720801020252862,5181.0,0.05183608289081354,0,,-0.06380471610290572,0.287767357495428,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.011886477936851714,3666.8132009999827,0.03666813201000285,2,50.0,-0.1350089670000001,0.09317205129300184,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.5, ""bb_window"": 20}}"
