Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
obv (best),0.0856718277191828,28091.611105571996,0.280916111055721,99,53.535353535353536,-0.06594850376673722,1.020987131688398,,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""obv_span"": 5}}"
sma_price (best),0.08487640351946957,27809.160810251095,0.278091608102508,104,53.84615384615385,-0.07499888194426862,0.9897963285585731,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.07691156897752593,25003.802267417996,0.2500380226741794,57,59.64912280701754,-0.06953727053688474,0.9065254000842129,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 20}}"
stoch_vwap (best),0.05892765611693118,18821.464314152996,0.18821464314153435,99,43.43434343434344,-0.10862090619872611,0.584841167656119,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""d_window"": 2, ""k_window"": 7, ""smooth_k"": 1, ""vwap_window"": 10}}"
ichimoku (best),0.03953127377370125,12386.23576629901,0.12386235766299203,22,59.09090909090909,-0.1007673557766886,0.4183038598073288,2026-01-28,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {}}"
buy_hold,0.007605657143492595,2308.625,0.023083228368349085,0,,-0.07722449152483657,0.14269283699927476,2026-01-28,HOLD,0,"{""buy_pct_cash"": 1.0}"
rsi (best),0.007123217748239208,2160.8557252030005,0.02160855725202948,35,62.857142857142854,-0.06662285753179664,0.1754898881418763,2026-01-28,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 10.0, ""rsi_window"": 7}}"
bollinger (best),-0.006257875185235462,-1872.9723226719943,-0.018729723226718176,25,52.0,-0.11264460674008747,-0.09555523842135177,2026-01-28,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.25, ""cooldown_bars"": 0, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
