Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
buy_hold,2.0609613143652648,18902.699999999997,0.1890285560734326,0,,-0.061015381354115106,7.141224790148748,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
sma_price (best),0.05818617116146796,879.1175495999923,0.008791175495999504,2,100.0,-0.16560360633126925,0.11339616710117731,2026-02-10,NA,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.75, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 5}}"
macd (best),0.0,0.0,0.0,0,,0.0,,2026-02-10,NA,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 5, ""macd_slow_window"": 50}}"
bollinger (best),0.0,0.0,0.0,0,,0.0,,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 0.75, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.5, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 10}}"
rsi (best),-0.06111852284119068,-971.2742600000056,-0.00971274259999999,0,,-0.07775355589310884,-0.23229567601129322,2026-02-10,BUY,1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 10, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 1.0, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 90.0, ""rsi_oversold"": 40.0, ""rsi_window"": 7}}"
