Strategy,CAGR,PnL,Total Return,# Trades,Win %,Max Drawdown,Sharpe,Signal Date,Signal,Signal (-1/0/+1),Best Params
macd (best),0.736690846868876,437753.0768730701,4.3775307687307095,4,100.0,-0.24152866119424643,1.9625353890391186,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""macd_fast_window"": 8, ""macd_signal_window"": 12, ""macd_slow_window"": 50}}"
sma_price (best),0.5847695793199399,306837.12312561995,3.0683712312561964,3,100.0,-0.3218546515717994,1.5938692001577748,2026-02-10,SELL,-1,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 120, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""window"": 14}}"
rsi (best),0.4187428091222736,190365.17518188013,1.9036517518188036,10,90.0,-0.16666315237274287,1.810077114863924,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 60, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""rsi_overbought"": 60.0, ""rsi_oversold"": 20.0, ""rsi_window"": 7}}"
buy_hold,0.2507622114471686,97292.15999999999,0.9776599752026134,0,,-0.2572075561495373,1.0596574465072197,2026-02-10,HOLD,0,"{""buy_pct_cash"": 1.0}"
bollinger (best),0.21086143674886992,79159.65718908003,0.7915965718908047,18,94.44444444444444,-0.30606572514630104,0.8607458944478615,2026-02-10,HOLD,0,"{""portfolio"": {""buy_pct_cash"": 1.0, ""cooldown_bars"": 5, ""min_return_before_sell"": 0.0, ""rebalance_policy"": ""on_change"", ""sell_pct_shares"": 0.25, ""sizing_mode"": ""pct_cash_shares""}, ""strategy"": {""bb_k"": 2.0, ""bb_window"": 50}}"
