side,price,fees,available_quantity,cmp,position_value_cost,pnl_realise,pnl_latent,timestamp,symbol,qty,notional,cost,_mark
BUY,96.11,0.7519069740000001,260.0,96.1128919499,24989.351906974,0.0,-497.8719069740026,2023-01-09 00:00:00+00:00,IAM,260.0,24988.6,0.7519069740000001,94.198
BUY,87.154,0.5638297299000001,475.0,92.05900155095559,43728.0257367039,0.0,-4317.275736703904,2023-03-20 00:00:00+00:00,IAM,215.0,18738.11,0.5638297299000001,82.97
BUY,79.955,0.42102304125000006,650.0,88.80087963037715,57720.57175974515,0.0,-6378.37175974515,2023-05-04 00:00:00+00:00,IAM,175.0,13992.125,0.42102304125000006,78.988
SELL,90.712,1.7741906520000004,0.0,0.0,0.0,1240.4540496028526,0.0,2023-06-19 00:00:00+00:00,IAM,-650.0,58962.8,1.7741906520000004,95.185
BUY,97.906,0.7600658173200001,258.0,97.90894599154002,25260.508065817325,0.0,849.0919341826749,2023-10-05 00:00:00+00:00,IAM,258.0,25259.748000000003,0.7600658173200001,101.2
BUY,91.266,0.57120833952,466.0,94.94507998746104,44244.407274156845,0.0,-2577.017274156843,2024-02-07 00:00:00+00:00,IAM,208.0,18983.328,0.57120833952,89.415
BUY,93.923,0.42674760357,617.0,94.69563536752092,58427.207021760405,0.0,-1251.6680217604076,2024-05-22 00:00:00+00:00,IAM,151.0,14182.373,0.42674760357,92.667
BUY,91.02,0.32043864060000005,734.0,94.11017365177248,69076.867460401,0.0,-2857.5894604010045,2024-06-13 00:00:00+00:00,IAM,117.0,10649.34,0.32043864060000005,90.217
BUY,83.331,0.24071325984000005,830.0,92.86371587188053,77076.88417366084,0.0,-8182.734173660843,2025-01-02 00:00:00+00:00,IAM,96.0,7999.776,0.24071325984000005,83.005
SELL,98.253,2.453839199100001,0.0,0.0,0.0,4470.651987140061,0.0,2025-01-31 00:00:00+00:00,IAM,-830.0,81549.99,2.453839199100001,107.438
